"Geno","Cluster_geno"
"1/11//3","1"
"1/12//3","2"
"1/16//2","2"
"1/16//3","2"
"1/17//2","2"
"1/17//3","1"
"1/23//2","1"
"1/24//3","1"
"1/24//4","1"
"1/27//1","2"
"1/28//2","2"
"1/29//2","1"
"1/29//3","1"
"1/29//4","2"
"1/30//2","2"
"1/30//3","2"
"1/30//4","2"
"1/70/3","2"
"1/8//1","2"
"14/50/1","1"
"14/60/1","1"
"1S/2","2"
"1S/3","2"
"1S/6","2"
"2/22//10","2"
"2/22//22","2"
"2/22//4","2"
"2/22//5","2"
"2/5//3","1"
"2/5//4","2"
"2/7//11","1"
"2/7//2","1"
"2/7//8","2"
"202/62/2","1"
"202/63/1","1"
"202/63/11","1"
"202/63/14","1"
"203/36/2","2"
"203/63/6","2"
"209/29/1","2"
"209/29/8","2"
"209/29/9","2"
"222/65/1","1"
"223/32","1"
"223/38/2","2"
"223/38/3","2"
"226/65/1","2"
"227/54/1","1"
"227/56/3","1"
"227/59/1","2"
"228/87/4","1"
"234/37/4","2"
"234/37/5","1"
"238/29/2","1"
"245/62/5","2"
"247/30/1","2"
"254/28/4","2"
"254/28/7","2"
"254/80/2","2"
"257S/53","2"
"258S/24","1"
"261S/15/1","1"
"261S/6/1","2"
"261S/6/2","2"
"266S/11/3","1"
"266S/11/4","1"
"266S/11/6","2"
"266S/25/1","1"
"267S/25/1","1"
"267s/25/6","1"
"267S/25/7","2"
"267s/3/1","2"
"267S/6/7","2"
"267S/6/9","2"
"268/26/24","2"
"286/1","2"
"286/2","1"
"288/11","1"
"288/12","2"
"288/15","1"
"288/9","2"
"3/15//2","2"
"3/20//4","2"
"3/71/1","1"
"4/1//1","2"
"4/1//3","1"
"B/1/1","2"
"BD L6 T9","2"
"BD L7 T12","2"
"BD L7 T8","2"
"BD L8 T13","1"
"BD L8 T2","2"
"BD L8 T3","2"
"BD L8 T4","1"
"BD L8 T6","2"
"BD L8 T9","1"
"BDN S13","2"
"BDN S5","1"
"BDN S6","1"
"E U /14","1"
"E U/16","2"
"E U/17","1"
"E U/19","2"
"E U/21","2"
"E U/3","2"
"E U/7","1"
"E U/9","2"
"E/3/2","2"
"J1/14/16/1","2"
"J1/14/19/1","2"
"J1/14/19/3","1"
"J1/14/19/4","1"
"J1/14/51/4","2"
"J24/13/2/1","2"
"J24/13/20/4","1"
"J24/13/59/13","1"
"J24/13/59/4","2"
"J24/13/59/6","1"
"J24/13/59/7","1"
"J24/13/67/1","2"
"J72.01/10/3","2"
"J94/2/18/11","2"
"J94/2/18/2","2"
"J94/2/18/3","1"
"J94/2/64/1","2"
"Kanengo 1/12","1"
"kanengo 1/2","1"
"Kanengo 1/3","1"
"Kanengo 1/9","2"
"kanengo 2/1","1"
"Kanengo 2/15","1"
"Kanyatoloogo 5/12","1"
"KR1","1"
"KR10","1"
"KR2","2"
"KR3","2"
"KR4","1"
"KR5","2"
"KR6","2"
"KR7","2"
"KR8","2"
"KR9","2"
"Lubinga 3/11","2"
"Lubinga 3/19","2"
"MFCT2","1"
"MSE S3","2"
"Nansubuga/2clone","1"
"NFCT1","2"
"NGREDOG 5","2"
"NGREDOG 6","2"
"Q/1/1","2"
"UFCT","1"
"UFCT2","2"
"UFCT3","2"
"ZK L10 T1","2"
"ZK L10 T14","2"
"ZK L11 T7","1"
"ZK L2 T14","2"
"ZK L2 T7","1"
"ZK L4 T15","1"
"ZK L8 T5","2"
"ZKK","1"
"ZKM","1"
"ZKN","1"
"ZKO","1"
